Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
TOP1MT	116447	299.465	292.214	307.421	443.609	548.062	583.014	1403.8	674.861	246.744	501.765	989.421	577.26	1693.89	700.159	702.303	708.801	1050.95	851.255	1249.9
TOP1P1	7151	47.2063	50.7437	45.053	94.9743	73.6434	81.6438	82.2785	144.712	45.5861	50.5882	120.723	74.6356	45.8167	89.7129	79.7525	62.6491	75.6303	136.201	66.0891
TOP1P2	7152	4.4256	2.6247	2.6502	10.2889	6.9767	7.1233	13.5021	12.0594	2.8944	1.7647	5.7487	6.414	2.656	2.7911	10.3128	2.3327	6.8277	8.9606	11.0952
TOP2A	7153	10.3264	69.1164	21.2014	106.055	1881.4	2798.36	212.658	1106.68	5324.17	277.059	510.36	215.16	1187.91	2748.8	181.849	213.607	24.6849	29.2712	459.247
TOP2B	7155	4409.37	4636.92	4962.01	5130.99	3385.27	6545.21	5926.58	4756.96	4380.61	5040.59	5835.6	4746.36	2993.36	5412.28	6168.1	7063.68	7393.91	4494.62	3536.97
TOP3A	7156	329.707	331.584	376.325	306.688	262.791	404.384	179.325	348.794	459.479	356.471	245.918	340.525	241.7	207.735	303.885	351.901	311.975	263.441	259.05
TOP3B	8940	245.62	196.85	265.018	145.627	286.822	246.575	197.046	201.299	235.166	264.118	206.316	335.277	442.231	374.003	382.95	320.91	362.395	251.493	258.567
TOPBP1	11073	455.099	499.563	454.064	518.401	631.783	819.726	320.675	673.469	762.663	498.235	487.365	532.945	387.782	805.024	570.643	628.823	534.139	421.744	473.719
TOPORS	10210	565.001	538.058	583.922	837.752	562.791	603.288	637.975	756.494	611.433	568.235	680.905	684.548	164.675	602.472	541.767	642.486	627.101	675.627	543.185
TOR1A	1861	776.692	704.287	712.014	704.393	480.62	1052.05	1400.42	737.477	861.071	827.647	822.707	747.522	1051.79	734.848	845.995	772.45	971.639	1015.53	1096.5
TOR1AIP1	26092	4188.09	4685.04	4057.42	4349.43	1252.71	2270.14	571.308	1942.49	3894.36	2976.47	2174.94	3161.52	411.687	1394.74	1289.79	2250.37	1428.57	2207.29	1728.45
TOR1AIP2	163590	314.217	312.336	313.604	265.928	242.636	401.096	158.65	436.456	426.194	293.529	316.819	258.309	41.8327	419.059	232.038	439.543	258.403	307.049	125.424
TOR1B	27348	522.958	502.187	503.534	442.818	431.783	560	643.882	441.558	616.498	532.941	411.354	541.691	302.789	668.66	703.335	554.844	588.235	543.011	612.168
TOR2A	27433	78.9231	55.1181	64.4876	36.0111	301.55	219.178	290.717	242.579	104.92	125.882	170.546	177.26	485.392	293.86	290.478	181.282	221.639	181.601	355.53
TOR3A	64222	609.257	531.933	606.89	784.329	696.899	1005.48	994.093	606.215	677.279	884.118	903.19	752.77	1835.33	1191.39	812.307	705.802	827.731	597.372	1455.89
TOX2	84969	491.979	223.972	401.943	134.943	68.9922	303.014	221.097	339.054	251.085	376.471	279.772	433.819	470.12	205.343	107.597	115.634	87.7101	278.375	591.425
TOX3	27324	0.7376	6.1242	1.7668	0.3957	21.7054	624.11	258.228	16.2338	0.7236	55.8824	224.839	60.0583	78.3533	179.027	71.846	361.565	423.319	210.275	159.193
TOX4	9878	2446.99	2302.96	2505.14	2712.01	1821.21	1956.75	2273.49	2643.98	1996.35	2157.94	2097.94	2126.08	1295.39	1739.99	1991.66	1816.51	2086.51	2069.03	1712.34
TOX	9760	134.243	272.091	42.4028	184.408	37.2093	246.575	55.2743	86.7347	170.043	311.176	165.436	217.493	132.138	95.2951	47.439	142.627	17.8571	87.8136	150.027
TP53	7157	724.322	646.544	1033.57	658.884	1752.71	1993.42	2344.73	1269.02	855.282	1271.76	1270.47	1053.64	1104.25	1246.81	1733.24	1826.82	2619.75	891.876	1285.12
TP53AIP1	63970	2.2128	0	0.8834	0.3957	212.403	16.4384	3.7975	148.423	0.7236	0.5882	1.9162	1.7493	1.992	9.1707	109.66	5.3318	13.1303	3.5842	1.9296
TP53BP1	7158	1311.45	1465.44	1225.27	1470.12	539.535	1301.37	933.755	710.575	1390.01	1227.65	1163.8	1207	565.737	728.469	1074.25	1568.89	940.651	1102.75	630.982
TP53BP2	7159	913.148	1057.74	972.615	2259.6	640.31	1179.73	1469.62	1910.02	819.826	1040	1822.99	1013.99	711.819	982.855	943.623	967.728	1034.14	3135.6	1432.25
TP53I11	9537	407.155	482.94	384.276	700.831	1014.73	1967.67	2722.36	1714.75	839.363	1204.71	2447.04	1132.36	1480.74	1748.8	2702.99	1569.56	1597.69	1456.99	1519.08
TP53I13	90313	292.089	307.962	409.011	333.993	331.783	489.315	544.726	306.122	523.155	393.529	661.743	491.545	2028.55	938.995	534.204	410.885	525.21	685.185	770.396
TP53I3	9540	152.683	139.108	181.979	204.59	5019.38	535.89	931.646	3770.4	337.192	283.529	403.689	461.224	903.054	630.383	657.614	427.547	617.122	740.143	489.638
TP53INP1	94241	773.741	535.433	458.481	482.39	759.69	824.658	445.992	513.915	785.818	595.882	629.806	1151.6	1295.48	1732.46	760.399	1302.3	1146.01	187.575	1000.02
TP53INP2	58476	6964.41	8881.89	9130.74	7937.48	6745.74	1795.62	1700.84	3814.47	7663.53	3371.76	1663.94	5424.49	797.477	2224.48	1386.39	1751.51	1379.2	2831.54	1677.31
TP53RK	112858	312.742	328.084	325.088	321.725	450.388	494.247	1036.29	621.058	321.274	371.176	542.936	371.429	1055.11	682.616	543.486	482.531	658.088	675.627	616.027
TP53TG1	11257	275.125	218.723	265.901	207.756	453.488	414.795	1707.59	410.019	276.411	301.176	648.968	405.831	1057.77	602.073	683.396	565.841	1030.46	581.242	586.601
TP53TG3B	729355	0	0	0	0	6.9767	3.8356	2.5316	0	0.7236	0	0.6387	0.5831	0	20.7337	0	0.3332	0	0	0
TP53TG5	27296	0	0.0437	3.9576	0.7835	0	0	0	0	1.1143	2.2706	0	0	0.3453	0	1.9835	0.9697	0.9034	0.7706	1.7994
TP63	8626	0.7376	8.7489	5.3004	7.9145	3405.43	1834.52	2486.92	3828.39	6.5123	557.059	3383.45	517.784	938.911	2627.99	3660.71	4357.44	4150.74	714.456	892.926
TP73	7161	0	0	0	1.5829	182.171	53.1507	14.346	19.9443	17.3661	4.1176	19.8012	13.4111	75.0332	112.839	29.5634	41.3217	102.941	7.7658	21.7081
TPBG	7162	785.543	1028	545.936	2813.61	618.605	1045.48	886.92	601.577	1680.17	711.765	1122.92	647.23	466.135	1042.26	708.491	821.769	540.441	1483.27	797.893
TPCN1	53373	1365.3	872.266	1123.67	737.238	893.023	1038.36	1498.31	1057.51	949.349	1304.71	2457.9	1375.51	1768.92	1215.71	1698.18	2708.24	3363.45	2483.27	1680.21
TPCN2	219931	643.504	478.364	541.272	629.513	294.085	256.893	222.067	292.189	329.906	498.965	267.022	472.688	493.924	294.86	314.761	364.418	333.251	332.282	422.386
TPD52	7163	770.533	515.573	1159.89	229.77	2679.7	866.92	1597.64	2272.58	569.855	659.235	1481.92	1100.04	1082.48	2315.23	2361.09	1491.83	1654.81	1136.7	1359.42
