Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
CD27-AS1	678655	1.5273	0.3018	1.3346	0.702	-1.5696	-0.9636	0.0199	-1.7307	0.4522	0.8298	-0.6506	1.7282	0.3431	-0.5301	-0.3088	-0.1397	0.6284	-1.6013	-0.373
LHFPL3-AS2	723809	-1.183	-0.4386	-1.183	-0.0592	-1.183	-0.6656	1.7144	-0.7318	-1.183	-1.183	-0.2083	-1.183	0.1149	2.547	-1.183	-0.5782	-0.6831	-0.6283	-0.3832
ANP32AP1	723972	0.242	-0.2642	-0.8316	-0.6961	-1.8734	-0.2608	-0.1652	-0.9987	-1.6527	-0.142	1.9245	0.134	0.6103	1.8797	0.2751	-0.2804	1.5359	0.427	0.1365
CASC8	727677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC727896	727896	0.4409	1.6268	-1.1118	0.4072	-0.1912	0.3525	0.6981	1.383	-2.622	0.2592	0.6179	-0.1843	-0.9319	0.5622	0.2074	-0.3392	-1.2822	1.0146	-0.9069
LINC02203	727924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728024	728024	0.7362	-1.208	-0.5082	0.0202	-1.3574	-1.3264	0.0706	-1.6998	1.3183	0.3249	1.36	1.056	-0.71	0.344	0.3836	0.7905	1.5364	0.1562	-1.287
NUTM2A-AS1	728190	0.2951	-0.2548	-0.821	0.0288	-0.2757	0.3502	0.4453	2.0835	-0.5932	-2.6961	-0.6724	-0.0888	-0.4399	-0.174	0.3339	1.3414	-0.3666	1.7406	-0.2363
CARMN	728264	1.2813	0.8811	1.1831	0.5334	-0.1539	-0.8081	-1.706	-1.6401	1.167	1.0401	0.0756	1.2955	-1.141	-0.9393	-0.3576	0.5833	-0.3364	-1.2755	0.3173
CLEC19A	728276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINC01881	728323	1.0057	1.3109	1.376	1.6355	-1.3336	-0.5853	-1.49	-0.5588	0.9228	-0.3019	0.0612	0.2775	-2.2025	-0.0762	0.2913	0.7519	-0.0817	-0.4386	-0.5644
LOC728392	728392	-1.4704	-1.2114	-0.6153	-1.3699	-1.2679	-0.1409	0.3201	-0.7192	-0.6217	-0.0237	1.5112	0.5432	1.7205	-0.26	0.7712	-0.3942	1.5646	0.4498	1.214
DUX4L2	728410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728554	728554	-1.738	-0.969	-1.089	-0.8957	1.4656	0.1022	1.0472	2.3875	-0.7592	-1.2122	-0.0151	-0.1586	0.3063	-0.2716	1.1857	0.2783	0.3884	-0.3599	0.3072
PCAT18	728606	1.5493	0.3142	-2.4807	-0.9983	-2.4807	-2.4807	-0.9156	-2.4807	-2.4807	-2.4807	-2.4807	-0.4381	1.2766	1.0175	-2.4807	-1.202	-0.6037	-2.4807	-2.4807
LOC728613	728613	-0.4541	-0.2891	0.5533	0.8835	-2.4413	0.1711	1.4968	-1.2426	0.749	0.2871	-0.6915	-1.2201	-1.3698	0.7171	0.28	0.9484	-0.2701	1.0092	0.883
FAM133CP	728640	0.8484	-0.4886	0.455	-0.201	0.2936	0.2058	-0.4075	0.8207	-0.1404	-2.2328	0.7997	0.7335	-1.7742	-1.1978	0.6764	0.1003	-0.8165	2.2169	0.1087
HNRNPA1P33	728643	-1.6567	-1.2045	-0.9276	-0.7449	2.0464	-0.0898	1.23	1.2144	-1.2321	-0.6309	1.3164	-0.3147	0.1123	-0.8882	0.5463	-0.0851	0.5678	0.9843	-0.2435
ZBED3-AS1	728723	0.9534	-0.5933	-0.9015	-0.0277	-4.5455	0.3698	0.7312	-1.958	0.6516	-0.0448	-0.0535	0.609	0.7453	0.3709	-2.1315	1.0406	1.245	-1.5626	0.5561
LOC728743	728743	0.8557	-0.4704	1.2683	-1.08	-0.3387	-0.5729	-0.8991	-1.4702	0.704	0.8347	-0.7563	1.2989	2.0239	0.0921	-0.1581	-0.0095	0.4463	-2.0055	0.2368
PIN4P1	728758	-0.496	0.4607	-1.3354	-0.0901	0.7289	0.5494	1.0541	-0.0501	-0.8259	0.0831	0.007	-0.4418	0.1773	1.4773	0.6272	-0.1096	1.8088	-2.6664	-0.9584
C1GALT1C1L	728819	0.9466	0.0897	0.8816	0.3743	-1.3821	-0.0593	0.1539	-2.3051	1.409	0.8085	0.4482	0.7344	-0.0786	1.163	-0.922	-0.019	-0.6989	-1.925	0.3809
LINC00623	728855	0.4373	0.9853	1.1446	-0.5328	-1.5281	-0.2152	0.5175	-1.1498	0.445	-0.9093	0.2918	0.4544	2.0935	0.5845	-0.8579	-0.2781	-0.3869	-2.0757	0.9798
LOC728875	728875	0.077	-0.4339	1.1672	0.9402	-0.9566	-0.6023	0.4072	-2.3672	0.9457	1.1533	-0.932	0.1342	0.6034	1.9999	-1.0368	-0.7771	-0.0428	0.259	-0.5383
LOC728989	728989	-0.9826	-0.8499	-1.9462	-0.9293	0.817	-0.6556	-1.3323	-1.2816	-0.9967	0.1639	0.2659	0.4344	2.5209	0.9905	0.5121	0.3195	0.0275	-1.9462	0.9761
RPEL1	729020	0.8234	0.1657	0.8452	0.0452	0.7519	0.0731	-1.5622	-0.4333	1.2893	-0.008	0.1743	0.8743	-2.8956	0.312	-0.0463	1.0695	0.153	-0.1299	-1.5014
OIP5-AS1	729082	0.3206	0.4019	-0.4967	-0.7109	2.4937	0.5378	0.6847	0.4095	0.3965	-0.8239	0.1788	-1.0496	-1.2951	0.9194	-0.5963	1.5926	-0.4013	-1.2022	-1.3597
RGPD4-AS1	729121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF2IRD1P1	729156	-2.5372	-2.5372	0.5931	-0.2273	-2.5372	-2.5372	-2.5372	-1.3331	-2.5372	0.2224	-2.5372	-2.5372	-0.956	-0.4263	-2.5372	-1.3677	0.4691	1.4559	1.5698
KATNBL1P6	729176	-1.0305	1.3237	0.1334	0.2783	0.817	0.3586	-1.629	2.2652	0.1413	-0.6985	0.3622	-0.4585	-2.4728	0.2712	0.0456	0.1979	-0.173	0.5612	-0.2933
FAHD2CP	729234	0.0654	-0.4444	0.073	-0.9253	-1.9941	-0.7815	2.1815	-1.0975	-0.3893	0.0345	-0.0576	-0.1102	1.0011	-1.1958	-0.0523	0.7795	1.7905	0.9734	0.1492
FAM86HP	729375	-1.1216	-0.8362	1.7148	-0.9298	-1.1974	0.7718	0.5194	-1.4321	-0.1882	-0.4555	1.0569	0.5166	1.6205	-0.6475	0.2817	-0.1227	0.7176	-1.4702	1.202
LOC729467	729467	-0.4134	1.5027	-0.077	-2.7197	-2.7197	-2.7197	-2.7197	-2.7197	-2.7197	-2.7197	-2.7197	0.5069	-2.7197	-2.7197	-2.7197	-1.5192	-2.7197	-2.7197	-2.7197
LOC729603	729603	-0.7744	-1.5263	-1.722	-0.8901	0.836	-0.3435	-1.3122	-0.5529	0.1795	0.0296	0.7117	1.3103	1.3023	-0.0055	-0.986	1.6472	0.9145	0.9756	0.2063
LOC729609	729609	-2.3187	-2.3187	-2.3187	-2.3187	-2.3187	-2.3187	-2.3187	-2.3187	1.6366	-2.3187	-0.1358	-2.3187	-2.3187	-2.3187	-2.3187	-1.0477	-0.4531	-2.3187	-2.3187
GOLGA2P6	729668	0.6274	-5.1989	-5.1989	-1.6832	-5.1989	-5.1989	-5.1989	-5.1989	-5.1989	-5.1989	0.0094	-5.1989	-5.1989	-5.1989	-5.1989	1.3061	-5.1989	-0.2597	-5.1989
LINC00847	729678	0.5781	-0.3181	0.2514	-1.9791	0.253	0.0575	0.5682	-1.6221	0.7064	0.7105	-0.7322	0.7181	1.1733	1.702	-0.0767	0.1201	0.3335	-2.2507	-0.1932
SEC14L1P1	729799	0.9082	-1.5664	0.2892	0.3425	0.6861	0.2314	-1.0408	-0.7076	-0.6872	1.0232	0.2466	1.0812	-1.8132	-1.0322	-0.7978	2.0636	1.0598	0.2112	-0.4977
BORCS8	729991	-1.7222	-0.8007	-1.5388	-0.7589	-0.027	-0.0708	1.6246	0.0629	-1.0074	0.0938	0.2943	-0.5408	2.2256	1.3348	0.1768	-0.7349	0.5475	-0.0471	0.8881
BORCS8-MEF2B	4207	0.3358	-0.6778	0.5858	-0.7265	-1.2333	-1.1988	0.3927	-1.138	-0.8883	2.3464	-0.0308	1.2765	-0.659	-0.1661	1.5478	-0.4336	-0.039	-0.6287	1.3349
LOC730101	730101	-0.3437	0.6032	0.4185	-0.0681	2.1533	0.1883	-1.3642	-0.2765	1.3465	0.2156	-0.0729	0.5881	-1.2076	1.9301	-1.102	-0.18	-0.4995	-1.4152	-0.914
LOC730668	730668	-1.5686	-1.5686	-1.5686	-0.5993	0.7775	-0.8422	-0.2088	0.6433	-0.6635	-0.2756	-0.7475	-0.2835	1.9505	-1.0107	-0.3904	1.1067	2.2475	-0.7899	-0.9141
MYT1L-AS1	730811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINC01300	731779	-1.5018	-1.5018	-1.5018	-1.5018	-1.5018	1.1541	-0.9464	-1.5018	-1.5018	-1.5018	-0.7225	-1.5018	-0.1686	1.5641	-1.5018	-1.5018	-1.5018	-1.5018	-0.8807
FAM238B	731789	-2.5142	-2.5142	-2.5142	-2.5142	-0.7149	1.1245	-2.5142	-2.5142	-0.8074	-2.5142	-2.5142	-2.5142	-0.9177	1.3155	-2.5142	-2.5142	-2.5142	-2.5142	-2.5142
LINC00917	732275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEBPA-DT	80054	0.2176	-0.8403	-0.7532	-1.2728	0.0185	0.8812	1.4636	-1.6161	-0.5376	0.6174	-0.0265	-0.0247	1.7213	0.6797	0.0338	0.5092	1.5321	-1.7685	-0.8347
GOLGA2P10	80154	-0.8412	-1.5752	-0.9377	-1.4398	1.2411	-1.0747	0.6539	1.3717	-0.881	-0.8441	0.9773	-0.2175	-0.6964	-0.2152	1.0813	0.2285	1.2088	1.318	0.6421
REXO5	81691	-1.3129	-2.0188	-1.6213	-0.1429	-0.6067	0.776	1.6912	0.6012	1.9653	0.0991	0.3206	-0.244	0.2928	-1.0196	-0.3536	0.4379	0.8818	-0.0641	0.3181
AFAP1-AS1	84740	-1.0678	-0.5613	-0.6732	-0.5631	3.592	0.2475	0.8303	-0.2015	-0.6614	0.004	0.6701	-0.3019	-0.531	-0.2887	-0.7978	0.8811	-0.464	0.1705	-0.2835
LINC00839	84856	0.284	0.2848	1.2509	-0.3112	-0.9139	-0.6405	0.6769	-1.5844	-1.8951	-0.7581	0.4858	-0.8364	1.4747	-0.5373	-0.4203	1.5199	1.6851	-0.0294	0.2645
LINC01101	84931	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	1.0	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-5.4491	-1.0	-5.4491	-5.4491
JMJD1C-AS1	84989	-1.1813	-2.0076	-1.1589	-0.7261	-0.9929	-0.0467	1.7775	-0.4861	0.0906	-0.2162	1.4736	-0.4051	0.6536	0.6037	0.6169	-0.1886	-0.1659	1.8545	0.5051
LOC90110	90110	0.8395	-0.1312	0.5592	-1.69	-0.7641	-0.1534	0.6361	-1.4745	0.1142	0.1459	0.7486	1.3251	-0.8761	1.7544	0.1667	0.6493	0.7026	-2.1499	-0.4024
LOC90246	90246	-0.8889	-1.7785	-1.6611	-1.1443	-0.5347	0.4714	1.2453	0.029	-0.1543	-0.6066	0.0284	0.181	-1.044	0.6179	1.5559	1.4607	1.4749	0.2954	0.4526
AOC4P	90586	1.1087	-0.1986	1.5241	1.0203	-0.6713	-0.7372	-1.9144	-1.0599	1.5635	1.1518	-0.7153	1.2811	-0.5208	-0.8413	-1.0001	0.6256	-0.5338	-0.0741	-0.0083
LOC90784	90784	0.4808	0.0561	0.7988	-0.3626	-1.1467	0.2469	-0.6177	0.093	0.8458	0.1909	-0.9838	-1.103	-0.7361	0.7117	-0.4523	1.3304	2.4715	-2.0298	0.2059
LOC90834	90834	-0.8566	-1.4632	-1.2459	-1.0387	0.4099	-1.0966	-1.2064	0.5668	-0.2244	0.3211	1.1892	0.0418	-0.7633	-0.0642	0.6037	1.1982	0.7029	2.362	0.5637
RAPGEF4-AS1	91149	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-3.3622	-0.1029	0.3907	-3.3622	-1.5215	1.2336	-3.3622	-3.3622
GUSBP11	91316	-0.5673	-1.1803	-0.9723	-1.0628	-0.5684	-1.4653	-0.9492	-0.7439	-1.0399	0.0081	0.97	0.6835	1.3443	0.1198	0.8481	1.2074	1.455	1.6086	0.3047
LOC91450	91450	0.918	0.7538	1.4153	-1.0657	-0.4407	-1.7168	-1.3265	-1.1961	-0.5463	0.6342	-0.7342	1.4865	1.3963	-0.2898	-0.8533	-0.0418	0.855	-0.2917	1.0439
LINC00923	91948	0.2347	-2.648	-2.648	0.8235	-2.648	-1.2584	-1.5284	-2.648	-0.9164	-2.648	-0.0301	1.6934	-2.648	0.3849	0.1033	1.1808	-1.3053	0.6179	-2.648
LINC01278	92249	1.3868	1.2973	1.6729	0.6906	0.0283	-0.2324	-1.2952	-1.3959	1.4193	0.8016	-0.3607	0.6086	-1.6177	-1.0315	-0.636	0.2979	-0.1932	-0.5964	-0.8442
MAFG-DT	92659	-0.0232	-0.9715	-0.559	-1.4053	0.2201	0.9267	0.2947	0.126	0.6974	-0.5605	0.16	-0.2828	2.0251	1.7753	0.3387	0.2712	-0.0054	-2.4698	-0.5576
TMEM8B	51754	1.4845	0.9628	1.3696	1.3468	-0.7377	-0.5737	-1.2729	-1.6313	1.0528	0.8556	-0.235	1.0625	-1.3905	-0.6141	-0.4076	0.5626	-0.3837	-0.7884	-0.6621
MGAM2	93432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC93622	93622	0.0685	-0.8613	-0.059	-1.8549	0.3792	0.3455	1.5924	-1.2615	-0.7508	-0.107	-0.6949	0.6769	1.2929	0.3131	0.3171	0.7261	1.7641	-1.8416	-0.0449
BMS1P20	96610	-1.1098	-0.3108	-1.2444	-0.8895	-0.2394	0.711	-0.6953	0.6121	-0.9318	1.0188	-0.3128	0.611	2.2978	1.1222	-0.746	-0.8328	0.2485	-0.9667	1.6577
LOH12CR1	118426	-0.5148	-0.2553	-0.3611	-0.5386	1.3307	-0.664	-0.1234	2.15	0.1579	0.0707	-1.3313	-0.4485	2.1265	0.0024	-0.3525	-1.0021	0.2719	-1.5892	1.0706
LOH12CR2	503693	1.4601	0.7026	1.2795	1.0532	-0.8611	-0.3905	-0.5314	-1.4235	1.5134	1.0909	0.0569	0.8401	-1.4483	-0.8971	-0.39	-0.106	0.0155	-1.7698	-0.1945
LOH3CR2A	29931	0.7142	1.216	1.0055	1.9968	-1.2798	-0.7024	-0.7983	-0.5396	-0.3194	0.906	0.3748	0.3962	-0.0608	-0.8296	-1.1255	-0.6931	-1.8481	0.2371	1.3499
LONP1	9361	0.2856	0.1014	0.9452	-0.9344	-0.7128	-0.5111	0.1859	-1.1648	0.4574	0.1429	-0.4003	-0.5124	3.3247	0.1286	0.4797	-0.4789	0.2118	-1.6561	0.1076
LONP2	83752	0.2679	0.322	0.2003	-0.0778	-0.4603	0.0049	0.0117	-0.5756	0.5294	0.1549	0.727	-0.5808	-3.072	0.4069	0.4751	1.4656	1.2245	0.7263	-1.7497
LONRF1	91694	-0.3413	0.2154	-1.4851	1.4121	-0.5784	-0.7146	0.7484	0.3873	-1.246	-0.1084	2.2633	0.214	-1.5059	-0.8411	0.0326	-0.5378	0.0668	1.7312	0.2876
LONRF2	164832	1.0918	1.2953	1.1393	1.4039	-0.2493	-0.0818	-0.9753	-1.2914	1.0415	0.9153	-0.5665	0.8716	-2.0903	-1.3188	-0.8281	0.351	-0.4059	-0.0048	-0.2974
LONRF3	79836	1.0753	0.8793	0.7345	1.4975	-1.0209	-0.3884	0.1298	-1.4041	0.6939	0.5707	0.3383	0.7031	-2.0922	-0.2052	-1.2207	-0.2917	-1.3197	1.396	-0.0755
LOR	4014	-0.9035	-0.9035	-0.9035	-0.7295	2.4871	-0.5174	-0.5842	0.5063	-0.9035	-0.9035	-0.9035	-0.6638	0.5727	-0.7284	-0.9035	-0.9035	-0.9035	-0.9035	-0.3427
